CODCR_因子编码,因子编码,UINT,WORD,d:10;a:3;r:4096;l:2,TRUE,,NONE,,NONE,,,19,IN,5,,1032
CODCR_单位,单位,USHORT,WORD,d:10;a:3;r:4098;l:1,TRUE,,NONE,,NONE,,,19,IN,5,,
CODCR_标样参考值,标样参考值,FLOAT,WORD,d:10;a:3;r:4099;l:2,TRUE,,NONE,,NONE,,,19,IN,5,,1032
CODCR_水样数据时间,水样数据时间,WDATE,WORD,d:10;a:3;r:4101;l:3,TRUE,,NONE,,NONE,,,19,IN,5,,
CODCR_水样实测值,水样实测值,FLOAT,WORD,d:10;a:3;r:4104;l:2,TRUE,,NONE,,NONE,,,19,IN,5,,1032
CODCR_水样数据标识,水样数据标识,STRING,WORD,d:10;a:3;r:4106;l:6,TRUE,,NONE,,NONE,,,19,IN,5,,
CODCR_标样数据时间,标样数据时间,WDATE,WORD,d:10;a:3;r:4112;l:3,TRUE,,NONE,,NONE,,,19,IN,5,,
CODCR_标样实测值,标样实测值,FLOAT,WORD,d:10;a:3;r:4115;l:2,TRUE,,NONE,,NONE,,,19,IN,5,,1032
CODCR_标样数据标识,标样数据标识,STRING,WORD,d:10;a:3;r:4117;l:6,TRUE,,NONE,,NONE,,,19,IN,5,,
CODCR_空白数据时间,空白数据时间,WDATE,WORD,d:10;a:3;r:4123;l:3,TRUE,,NONE,,NONE,,,19,IN,5,,
CODCR_空白实测值,空白实测值,FLOAT,WORD,d:10;a:3;r:4126;l:2,TRUE,,NONE,,NONE,,,19,IN,5,,1032
CODCR_空白数据标识,空白数据标识,STRING,WORD,d:10;a:3;r:4128;l:6,TRUE,,NONE,,NONE,,,19,IN,5,,
CODCR_零点核查数据时间,零点核查数据时间,WDATE,WORD,d:10;a:3;r:4134;l:3,TRUE,,NONE,,NONE,,,19,IN,5,,
CODCR_零点核查实测值,零点核查实测值,FLOAT,WORD,d:10;a:3;r:4137;l:2,TRUE,,NONE,,NONE,,,19,IN,5,,1032
CODCR_零点核查数据标识,零点核查数据标识,STRING,WORD,d:10;a:3;r:4139;l:6,TRUE,,NONE,,NONE,,,19,IN,5,,
CODCR_跨度核查数据时间,跨度核查数据时间,WDATE,WORD,d:10;a:3;r:4145;l:3,TRUE,,NONE,,NONE,,,19,IN,5,,
CODCR_跨度核查实测值,跨度核查实测值,FLOAT,WORD,d:10;a:3;r:4148;l:2,TRUE,,NONE,,NONE,,,19,IN,5,,1032
CODCR_跨度核查数据标识,跨度核查数据标识,STRING,WORD,d:10;a:3;r:4150;l:6,TRUE,,NONE,,NONE,,,19,IN,5,,
CODCR_加标回收数据时间,加标回收数据时间,WDATE,WORD,d:10;a:3;r:4156;l:3,TRUE,,NONE,,NONE,,,19,IN,5,,
CODCR_加标回收实测值,加标回收实测值,FLOAT,WORD,d:10;a:3;r:4159;l:2,TRUE,,NONE,,NONE,,,19,IN,5,,1032
CODCR_加标回收数据标识,加标回收数据标识,STRING,WORD,d:10;a:3;r:4161;l:6,TRUE,,NONE,,NONE,,,19,IN,5,,
CODCR_平行样数据时间,平行样数据时间,WDATE,WORD,d:10;a:3;r:4167;l:3,TRUE,,NONE,,NONE,,,19,IN,5,,
CODCR_平行样实测值,平行样实测值,FLOAT,WORD,d:10;a:3;r:4170;l:2,TRUE,,NONE,,NONE,,,19,IN,5,,1032
CODCR_平行样数据标识,平行样数据标识,STRING,WORD,d:10;a:3;r:4172;l:6,TRUE,,NONE,,NONE,,,19,IN,5,,
CODCR_系统时间,系统时间,WDATE,WORD,d:10;a:3;r:4224;l:3,TRUE,,NONE,,NONE,,,19,IN,50,,
CODCR_状态,状态,USHORT,WORD,d:10;a:3;r:4227;l:1,TRUE,,NONE,,NONE,,,19,IN,50,,
CODCR_测量模式,测量模式,USHORT,WORD,d:10;a:3;r:4228;l:1,TRUE,,NONE,,NONE,,,19,IN,50,,
CODCR_报警,报警,USHORT,WORD,d:10;a:3;r:4229;l:1,TRUE,,NONE,,NONE,,,19,IN,50,,
CODCR_故障,故障,USHORT,WORD,d:10;a:3;r:4230;l:1,TRUE,,NONE,,NONE,,,19,IN,50,,
CODCR_子流程Ext,子流程Ext,USHORT,WORD,d:10;a:3;r:4231;l:1,TRUE,,NONE,,NONE,,,19,IN,50,,
CODCR_软件版本,软件版本,USHORT,WORD,d:10;a:3;r:4232;l:1,TRUE,,NONE,,NONE,,,19,IN,50,,
CODCR_测量间隔,测量间隔,USHORT,WORD,d:10;a:3;r:4233;l:1,TRUE,,NONE,,NONE,,,19,IN,50,,
CODCR_零点核查间隔,零点核查间隔,USHORT,WORD,d:10;a:3;r:4234;l:1,TRUE,,NONE,,NONE,,,19,IN,50,,
CODCR_跨度核查间隔,跨度核查间隔,USHORT,WORD,d:10;a:3;r:4235;l:1,TRUE,,NONE,,NONE,,,19,IN,50,,
CODCR_标样核查间隔,标样核查间隔,USHORT,WORD,d:10;a:3;r:4236;l:1,TRUE,,NONE,,NONE,,,19,IN,50,,
CODCR_消解池实时温度,消解池实时温度,FLOAT,WORD,d:10;a:3;r:4237;l:2,TRUE,,NONE,,NONE,,,19,IN,50,,1032
